"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","patient"
2017-09-14,3.975,0.2796,45.375,23.1739,65.0435,12.0292,0.5875,12
2017-09-15,3.0292,0.1858,48.9167,13.25,41.25,8.2708,0.3708,15
2017-09-16,3.7833,0.285,50.25,19.8333,47.75,10.0708,0.625,NA
2017-09-17,3.6208,0.3012,58.6667,30.625,58.2083,9.5208,0.1708,NA
2017-09-18,4.725,0.3208,76.7083,24.9583,59.9583,9.3167,1.0875,14
2017-09-19,4.6042,0.4042,51.125,25.4167,55.7917,16.1542,0.9708,13
2017-09-20,4.1,0.4971,44.2917,37.9583,70.1667,20.525,1.3625,2
2017-09-21,4.9,0.3033,47.4167,25.7391,53.5,12.6583,0.4875,6
2017-09-22,3.9625,0.3438,54.0417,35.625,60.375,10.4875,1.4792,10
2017-09-23,4.8542,0.2767,41.9167,30.8333,50.9167,11.3625,0.75,NA
2017-09-24,5.85,0.3321,33.2458,29.0833,52.8333,15.1208,1.4875,NA
2017-09-25,3.5458,0.2004,23.7,12.0833,36,9.1292,1.1167,4
2017-09-26,3.0875,0.1646,27.8667,14.4545,30.8261,8.825,1.0917,13
2017-09-27,4.2125,0.1667,23.3842,19.1667,38.5833,10.6667,1.4875,3
2017-09-28,3.5042,0.1558,21.5,14,23.4167,9.5083,1.1792,8
2017-09-29,3.6125,0.3271,33.5125,17.9583,42.7083,16.4125,1.825,12
2017-09-30,2.9375,0.2938,48.925,19.7917,50.375,11.6458,1.075,NA
2017-10-01,2.9792,0.3283,44.2083,18.25,51.2083,10.5708,1.5292,NA
2017-10-02,4.3708,0.3529,41.9917,29.9583,53.9167,13.0375,0.4625,9
2017-10-03,4.1708,0.5783,35.8542,24,64.0435,21.6875,3.2083,14
2017-10-04,4.4417,0.4612,51.0375,41.7083,75.4583,12.6333,0.9583,NA
2017-10-05,3.9917,0.4454,47.8833,36.9167,75,15.15,0.625,9
2017-10-06,3.8542,0.3433,47.375,24.5652,68.6522,11.7625,1.2167,13
2017-10-07,4.6667,0.3929,52.6667,28.5417,60.6667,13.5625,1.6875,NA
2017-10-08,4.8417,0.3842,52.5417,31,64.625,13.275,0.6583,NA
2017-10-09,3.3333,0.3096,37.0833,19.75,53.0833,9.8292,0.4667,NA
2017-10-10,3.5958,0.2642,33.2917,16.125,48.7083,10.8333,0.5167,NA
2017-10-11,3.4208,0.1817,44.7083,16.1667,43.9583,7.6417,0.3625,6
2017-10-12,3.5458,0.3279,43,23.0833,78.375,14.5917,1.0042,10
2017-10-13,3.5,0.5429,11.8583,23.5217,78.8261,30.375,3.9333,14
2017-10-14,1.925,0.4025,8.3167,5.4167,23.9167,18.0875,7.6333,NA
2017-10-15,2.7458,0.2975,11.4042,4.7083,18.25,14.55,4.1792,NA
2017-10-16,2.7458,0.3667,27.3583,12.4167,40.4583,14.8792,4.1625,4
2017-10-17,3.2875,0.4292,36.925,29.25,79.9167,19.4792,1.6917,9
2017-10-18,3.0958,0.4046,32.9167,26.8696,68.1739,20.5417,1.0042,2
2017-10-19,3.05,0.4333,36.6042,25.7083,69.625,19.4583,2.7917,15
