"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","patient","allergy","hives","RH","TEMP","rain","WS_HR","WWIND","WIND","time"
2017-03-08,3.53257850241546,0.695510265700483,8.00211352657005,42.7192715195433,66.2369345630215,30.7757203243616,8.75519323671497,3,1,2,81.6493055555556,17.6944444444444,0.00902777777777778,1.04270833333333,1.86770833333333,1.86770833333333,42
2017-03-09,5.10520833333333,0.720729166666667,33.0347222222222,46.5872584541063,73.3173309178744,25.56875,6.66458333333333,8,6,2,72.7013888888889,21.1770833333333,0,1.28402777777778,1.62743055555556,1.62743055555556,43
2017-03-10,4.63263888888889,0.573055555555556,30.665625,46.0925422705314,80.6000905797101,20.3145833333333,2.51979166666667,5,0,5,73.0138888888889,23.6111111111111,0.0631944444444444,1.56597222222222,2.10243055555556,2.10243055555556,44
2017-03-13,3.78090277777778,0.422986111111111,42.5645833333333,29.5173611111111,59.3819444444444,14.4497685185185,2.16236111111111,6,2,4,69.3993055555556,25.7211805555556,0,1.65277777777778,2.30659722222222,2.30659722222222,45
2017-03-14,3.88055555555556,0.484547101449275,30.615625,33.4444444444444,66.1458333333333,20.9173611111111,3.31805555555556,10,5,5,70.4826388888889,22.2534722222222,0,1.34166666666667,2.20694444444444,2.20694444444444,46
2017-03-15,5.21527777777778,0.451840277777778,33.9055555555556,38.2341485507246,76.2030495169082,21.1989583333333,2.94027777777778,3,1,2,71.6597222222222,21.2569444444444,0.0208333333333333,1.25555555555556,1.57013888888889,1.57013888888889,47
2017-03-16,4.31770833333333,0.499444444444444,35.0694444444444,38.6319444444444,71.7465277777778,20.5993055555556,2.67569444444444,12,5,7,76.3611111111111,21.5138888888889,0.0881944444444444,1.38055555555556,1.90783514492754,1.90783514492754,48
2017-03-17,4.40763888888889,0.504375,35.2663194444444,39.6909722222222,69.0416666666667,20.7322916666667,4.53472222222222,12,4,8,72.4826388888889,22.7083333333333,0,1.46597222222222,2.04826388888889,2.04826388888889,49
2017-03-20,4.35520833333333,0.430277777777778,29.8309027777778,28.6109601449275,60.7394323671498,15.9958829365079,2.52992424242424,3,1,2,73.2118055555556,25.7326388888889,0,1.39479166666667,1.78541666666667,1.78541666666667,50
2017-03-21,4.04376509661836,0.515780495169082,36.207895531401,31.8511473429952,72.9772041062802,18.5455555555556,2.44305555555556,15,11,4,70.4965277777778,25.7881944444444,0,1.47916666666667,1.98854166666667,1.98854166666667,51
2017-03-22,5.42673611111111,0.5828125,42.5409722222222,35.1423611111111,78.7256944444444,18.513805171278,2.62241847826087,2,1,1,69.6076388888889,24.3298611111111,0.00277777777777778,1.565625,2.24861111111111,2.24861111111111,52
2017-03-23,3.90197765700483,0.438131793478261,45.3085317460317,32.3131541867955,73.3238224637681,16.3061342592593,1.80590277777778,10,6,4,66.4496527777778,25.6851851851852,0,1.54699074074074,2.47418981481481,2.47418981481481,53
2017-03-24,5.71736111111111,0.499270833333333,45.4972222222222,34.0972222222222,75.84375,18.0873106060606,2.81979166666667,11,4,7,71.09375,24.8888888888889,0.00138888888888889,1.66423611111111,2.10208333333333,2.10208333333333,54
2017-03-27,3.82569444444444,0.5290625,43.237279040404,30.7013888888889,67.3611111111111,15.8288194444444,3.07847222222222,3,2,1,64.8125,22.1284722222222,0,1.509375,1.85,1.85,55
2017-03-28,4.75173611111111,0.499305555555556,56.1416666666667,36.8443538647343,88.2027475845411,17.9105827294686,1.83743055555556,15,5,10,61.7534722222222,22.6666666666667,0,1.44791666666667,1.83298611111111,1.83298611111111,56
2017-03-29,4.82581018518519,0.536851851851852,50.930787037037,42.0694444444444,90.2777777777778,20.5788194444444,1.94479166666667,2,0,2,57.4803240740741,23.6701388888889,0.00138888888888889,1.17106481481481,1.54513888888889,1.54513888888889,57
2017-03-30,5.82708333333333,0.5746875,42.7131944444444,47.3310688405797,93.5560084541063,20.4809027777778,2.42708333333333,12,10,2,67.4826388888889,23.8402777777778,0,1.31875,1.71111111111111,1.71111111111111,58
2017-03-31,4.23680555555556,0.399097222222222,25.8884661835749,26.8350694444444,64.6284722222222,15.1161458333333,2.98559027777778,15,11,4,69.7795138888889,24.7847222222222,0.0138888888888889,1.90885416666667,2.58298611111111,2.58298611111111,59
2017-04-05,4.95104166666667,0.449212962962963,54.0208333333333,36.9166666666667,71.8402777777778,16.4496527777778,1.74803240740741,4,2,2,58.6435185185185,24.4282407407407,0,1.43368055555556,1.76145833333333,1.76145833333333,60
2017-04-06,4.56944444444444,0.398784722222222,35.3333333333333,28.0196256038647,66.180404589372,16.671875,2.12534722222222,11,7,4,62.1493055555556,25.5416666666667,0,1.80833333333333,2.10034722222222,2.10034722222222,61
2017-04-07,4.67048611111111,0.312777777777778,26.2152777777778,14.6770833333333,60.3263888888889,15.1965277777778,2.38576388888889,9,4,5,70.6180555555556,26.2534722222222,0,1.72222222222222,2.09097222222222,2.09097222222222,62
2017-04-10,4.58715277777778,0.325,13.4652777777778,15.8541666666667,36.5486111111111,13.234375,4.92777777777778,6,2,4,67.1180555555556,27.8784722222222,0,1.38680555555556,1.67048611111111,1.67048611111111,63
2017-04-11,4.13910984848485,0.259857954545455,12.9072601010101,12.4861111111111,31.0833333333333,10.7570896464646,3.99337752525253,18,9,9,73.8125,27.7777777777778,0.0152777777777778,1.70034722222222,1.98194444444444,1.98194444444444,64
2017-04-12,4.0385101010101,0.593680555555556,7.59027777777778,23.5243055555556,45.9409722222222,22.6234126984127,8.79382548309179,3,0,3,88.0277777777778,24.1909722222222,1.71388888888889,1.03055555555556,1.55381944444444,1.55381944444444,65
2017-04-13,3.44340277777778,0.682222222222222,29.1753472222222,35.1148578173035,59.4318593544137,23.8079861111111,3.72361111111111,8,6,2,83.6666666666667,21.9270833333333,0.388888888888889,1.02013888888889,1.58333333333333,1.58333333333333,66
2017-04-14,4.396875,0.658368055555556,38.4465277777778,40.2945103205973,69.3268610013175,20.0975378787879,2.615625,21,7,14,73.4965277777778,25.3611111111111,0.00902777777777778,1.265625,1.56059027777778,1.56059027777778,67
2017-04-17,4.85566123188406,0.274166666666667,15.2138134057971,17.1215277777778,41.6458333333333,11.899273989899,3.97493961352657,4,3,1,72.4583333333333,28.2118055555556,0.00416666666666667,1.51909722222222,1.72777777777778,1.72777777777778,68
2017-04-18,2.87822420634921,0.211846590909091,29.3797619047619,15.1111111111111,34.7152777777778,8.46736111111111,2.55923611111111,23,15,8,76.5659722222222,27.7916666666667,0,1.76458333333333,2.06840277777778,2.06840277777778,69
