,date,wday,urticaria,allergy,yday,SO2,CO,O3,PM2.5,PM10,NO,NO2,TEMP,RH,RAIN,WS_HR,urticaria_M,urticaria_F,allergy_M,allergy_F,urticaria_20,urticaria_65,allergy_20,allergy_65
128,2014/5/8,4,3,8,128,5.170440821,0.489657307,34.96870471,19.79861111,43.51585145,3.051464372,18.75292659,26.17708333,72.82291667,0,1.327777778,0,3,0,8,2,1,6,2
129,2014/5/9,5,4,8,129,5.026811594,0.652152778,10.34722222,22.93538647,51.23746981,9.679861111,23.73055556,24.52083333,83.15972222,1.861583694,1.103819444,1,3,1,7,4,0,8,0
132,2014/5/12,1,4,2,132,4.218402778,0.345034722,13.84826389,8.773907554,31.75107833,6.28125,11.67152778,28.625,75.08680556,3.736111111,1.539930556,2,2,1,1,2,2,2,0
133,2014/5/13,2,6,9,133,5.017392677,0.431234217,9.454892677,9.035635965,34.9991244,10.50849116,13.57875631,28.14046717,78.68560606,2.412121212,1.210700758,1,5,1,8,5,1,8,1
134,2014/5/14,3,1,0,134,4.243161232,0.271909722,13.87203283,8.078049517,31.65111715,5.339081028,9.946365832,28.82986111,74.875,0,1.301388889,1,0,0,0,1,0,0,0
135,2014/5/15,4,5,6,135,3.408333333,0.2153125,14.56006944,8.579246017,28.35700758,3.834027778,8.40298913,29.30208333,74.80555556,4.8,1.39375,1,4,1,5,3,2,5,1
136,2014/5/16,5,1,4,136,3.472327899,0.249027778,13.59340278,9.007424791,28.75422705,4.244791667,9.295486111,29.10416667,79.79166667,3.812121212,1.409375,0,1,1,3,1,0,4,0
139,2014/5/19,1,4,1,139,3.876704545,0.358993056,8.919981061,11.34751043,30.37200812,7.624905303,13.05858586,27.94760101,79.43087121,3.531666667,1.062973485,1,3,0,1,3,1,1,0
140,2014/5/20,2,5,11,140,4.175800121,0.330555556,11.78066123,7.037178854,28.27839537,6.773926768,13.38469066,27.06597222,83.78819444,3.56765873,1.255902778,0,5,4,7,5,0,10,1
141,2014/5/21,3,4,0,141,5.198958333,0.395868056,13.09201389,14.81038647,33.06446256,7.541666667,16.44861111,26.97916667,83.76388889,0.854365079,1.040972222,2,2,0,0,4,0,0,0
142,2014/5/22,4,5,7,142,7.439930556,0.343784722,17.65902778,12.75452899,36.62696256,6.944791667,14.10351751,29.07291667,71.32638889,0,1.430902778,1,4,5,2,5,0,5,2
143,2014/5/23,5,3,6,143,5.280374396,0.507395833,9.971527778,20.41412769,46.53395367,8.455208333,19.69791667,28.03472222,77.33333333,1.054545455,1.018055556,1,2,2,4,2,1,4,2
146,2014/5/26,1,3,9,146,3.304166667,0.245481582,17.38032911,9.598155468,29.38887516,3.029544082,8.644154864,29.7285628,72.41304348,0,1.741998792,2,1,0,9,2,1,6,3
147,2014/5/27,2,7,10,147,3.65625,0.282951389,32.89444444,13.80057367,49.90081522,2.457986111,10.58611111,29.11111111,79.32638889,5.511388889,1.240972222,4,3,2,8,4,3,10,0
148,2014/5/28,3,4,0,148,4.50688962,0.390047197,31.78369645,21.10562601,39.86854024,3.100139553,16.57094298,27.94170322,85.5244883,3.919285714,1.007785088,1,3,0,0,3,1,0,0
149,2014/5/29,4,1,12,149,3.360114734,0.294829408,21.12204106,20.48475242,34.46180556,2.90303442,10.05878623,29.35884662,78.14145531,0,1.277928744,0,1,2,10,1,0,6,6
150,2014/5/30,5,5,6,150,4.444791667,0.305729167,17.45729167,12.63692633,35.50588768,3.854861111,12.31701389,28.94345238,73.9265873,0.7,1.229861111,1,4,1,5,4,1,6,0
153,2014/6/2,1,0,0,153,3.48188317,0.221678922,14.42745098,11.25428922,25.05882353,2.988112745,7.764174837,30.31372549,71.06678922,0,1.662908497,0,0,0,0,0,0,0,0
154,2014/6/3,2,4,9,154,3.756597222,0.341493056,11.70798611,6.473454655,27.97469258,4.746527778,12.37395833,28.33333333,81.375,3.944305556,1.302083333,0,4,2,7,3,1,7,2
155,2014/6/4,3,3,1,155,4.509722222,0.461631944,29.69201389,15.77853261,40.81717995,4.592361111,16.4035628,28.11458333,78.98958333,10.06111111,1.097222222,3,0,0,1,2,1,1,0
156,2014/6/5,4,1,9,156,4.665972222,0.580347222,18.04618056,24.10144928,41.77868357,7.062152778,20.28506944,28.27777778,80.71875,2.525,0.970486111,0,1,2,7,0,1,9,0
157,2014/6/6,5,0,9,157,5.727430556,0.367118056,19.39166667,16.80037957,29.88416776,5.878819444,14.66006944,29.00694444,75.88541667,3.566269841,1.228125,0,0,3,6,0,0,8,1
160,2014/6/9,1,8,2,160,6.520440821,0.467777778,25.44861111,23.0612511,36.17759957,3.972569444,16.734375,28.05555556,82.20833333,0.895416667,1.116666667,2,6,0,2,6,2,2,0
161,2014/6/10,2,5,3,161,4.016824495,0.429131944,33.18184975,52.88032107,56.36708506,2.405849253,14.05800311,29.04513889,79.57165404,0.491666667,1.228440657,2,3,0,3,4,1,3,0
162,2014/6/11,3,2,0,162,5.318171296,0.370659722,26.0525463,35.09751356,47.61668891,2.851388889,14.27944024,29.375,78.24189815,0.04,1.525810185,1,1,0,0,1,1,0,0
163,2014/6/12,4,0,1,163,6.227430556,0.4875,38.82604167,25.82669082,58.03329491,3.149652778,19.17465278,28.72569444,80.02083333,1.627272727,1.160069444,0,0,1,0,0,0,1,0
164,2014/6/13,5,1,1,164,6.524652778,0.476527778,33.77083333,21.70486111,56.49652778,3.076736111,18.43333333,28.43402778,79.04513889,0.875,0.922569444,0,1,0,1,0,1,1,0
167,2014/6/16,1,4,4,167,5.853125,0.291770833,23.240625,7.977149209,32.73945982,2.962847222,9.633680556,29.22569444,80.22569444,0.905555556,2.274305556,1,3,2,2,2,2,3,1
168,2014/6/17,2,9,14,168,4.091968527,0.212551249,18.79001196,7.159017713,29.459843,2.723931318,8.668328017,29.61111111,80.82602339,0.9375,1.492671784,2,7,6,8,6,3,12,2
169,2014/6/18,3,1,1,169,4.231189614,0.221361715,17.31770833,9.082729469,32.06476449,3.26155303,8.516226708,29.94097222,77.77083333,0,1.365972222,0,1,0,1,1,0,1,0
170,2014/6/19,4,4,6,170,5.16577381,0.238725198,14.90049603,9.645908228,32.41854139,3.764583333,9.982361111,30.02132937,76.99007937,0,1.649702381,2,2,0,6,3,1,3,3
171,2014/6/20,5,5,8,171,6.864583333,0.226805556,17.52430556,7.159571256,27.16335913,2.924652778,9.192602657,30.38541667,74.14583333,0,2.248263889,1,4,2,6,3,2,4,4
174,2014/6/23,1,6,6,174,4.880902778,0.233020833,19.40034722,7.256017081,30.81836023,2.828819444,8.910069444,29.93055556,75.03819444,2.237272727,2.070833333,1,5,2,4,3,3,5,1
175,2014/6/24,2,4,17,175,3.309646739,0.232406401,18.16106582,8.85839372,33.51811594,2.7647343,8.326766304,29.6147343,78.77430556,3.031666667,1.794444444,1,3,7,10,4,0,15,2
176,2014/6/25,3,1,0,176,5.477083333,0.2215625,13.88159722,14.6649433,32.26649649,3.909970238,9.696669686,29.63194444,78.71180556,1.901309524,1.482986111,1,0,0,0,1,0,0,0
177,2014/6/26,4,4,6,177,3.816319444,0.226076389,14.21006944,12.0110617,34.19268775,4.022569444,8.909027778,29.80555556,77.51041667,1.741666667,1.455902778,1,3,2,4,4,0,6,0
178,2014/6/27,5,6,8,178,3.805208333,0.243125,13.33402778,13.15413647,53.1884058,4.248958333,9.3625,30.21180556,74.19097222,0,1.494791667,0,6,0,8,5,1,7,1
181,2014/6/30,1,1,2,181,4.375441919,0.241666667,17.93368056,9.076498682,32.84495773,3.089236111,8.515277778,30.78125,74.17013889,1.1,1.607638889,0,1,1,1,1,0,2,0
182,2014/7/1,2,7,13,182,4.6125,0.210347222,19.75173611,7.059027778,27.95138889,2.661458333,8.133333333,30.88888889,73.71180556,0.266666667,1.515625,0,7,3,10,6,1,10,3
183,2014/7/2,3,2,0,183,4.175796569,0.192330474,18.44503676,7.136766482,26.21359374,3.001368464,8.710620915,30.9869281,72.34027778,0,1.60755719,1,1,0,0,1,1,0,0
184,2014/7/3,4,3,13,184,3.220486111,0.176631944,15.02048611,9.523399758,42.73405248,2.725,7.006944444,31.05902778,71.96875,0,1.706944444,2,1,1,12,3,0,11,2
185,2014/7/4,5,2,10,185,4.138888889,0.322083333,13.10625,11.59601449,36.38043478,4.927324879,12.62163345,30.43055556,75.78472222,3.32,1.244097222,1,1,3,7,2,0,8,2
188,2014/7/7,1,4,2,188,4.228356481,0.317743056,30.90104167,21.57822712,45.55882353,2.329050926,11.37094907,31.15162037,72.85763889,1.4,1.703240741,0,4,1,1,4,0,1,1
189,2014/7/8,2,6,10,189,3.976871981,0.288780193,30.0026721,17.93931159,54.57513214,2.750015097,9.977853261,31.00362319,72.39975845,0,2.114175725,1,5,3,7,5,1,9,1
190,2014/7/9,3,1,0,190,3.473958333,0.262361111,27.88594505,16.35643116,36.6138285,2.245612374,8.703521825,30.71875,76.98958333,3.214848485,1.594791667,1,0,0,0,1,0,0,0
191,2014/7/10,4,1,5,191,4.794791667,0.204444444,18.98368056,5.172705314,23.07503019,2.820138889,8.830012077,30.86111111,73.27430556,1.4875,1.902430556,0,1,1,4,1,0,5,0
192,2014/7/11,5,1,6,192,4.373958333,0.200590278,18.49513889,5.333635266,24.09359903,2.650724638,7.77490942,31.05208333,73.70486111,0.904761905,1.98125,0,1,0,6,0,1,5,1
195,2014/7/14,1,4,4,195,2.645833333,0.173368056,15.97013889,4.678543588,18.73692907,2.234375,6.145138889,31.5625,70.89583333,1.9,1.677430556,3,1,1,3,4,0,4,0
196,2014/7/15,2,9,12,196,3.782291667,0.177605676,12.53647343,5.194183685,21.10659585,3.433175505,7.098958333,31.10975242,73.6758756,0.2,1.686805556,2,7,7,5,7,2,9,3
197,2014/7/16,3,3,0,197,3.788194444,0.267673611,21.86180556,11.67295235,34.15791063,2.813194444,11.57468297,31.26736111,72.54166667,0.266666667,1.542013889,2,1,0,0,2,1,0,0
