"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","RAIN","TEMP","RH","patient"
2017-12-04,2.9667,0.4504,30.1208,33.5,32.1053,18.9583,2.2708,0,21.6667,73.4583,4
2017-12-05,3.4417,0.5525,31.1417,44.9583,65.3478,23.5833,2.4708,0,20.125,67.25,16
2017-12-06,4.1292,0.5762,24.0167,43.5417,83.5833,29,2.8667,0,19.4167,67.3333,2
2017-12-07,3.0417,0.4262,25.7167,23.9167,47.4583,22.625,1.5542,0,20.75,69.7917,7
2017-12-08,2.5792,0.4604,25.4583,37.8333,65.25,20.6625,1.8333,0,17.125,73.4583,9
2017-12-11,3.8292,0.6421,28.7,56.375,106.2917,25.9167,2.2875,0,19.4167,74.375,8
2017-12-12,4.1042,0.6075,14.7875,43.375,89.0455,30.1667,4.7542,0,19.5417,68.25,15
2017-12-13,4.1792,0.5275,26.4417,33.5,65.7083,25.3333,2.9333,0.0083,20.7917,75.9583,3
2017-12-14,3.8083,0.5425,30.4833,40.0833,88.6667,26.7542,3.5375,0,20.9583,78.125,11
2017-12-15,3.2167,0.4938,32.4083,37.8333,85.25,22.25,2.8833,0,20.5833,81.8333,9
2017-12-18,3.0583,0.4462,20.0708,26.2917,71.25,21.7083,3.3375,0,18.1667,67.1667,4
2017-12-19,2.9,0.375,23.7375,24.8333,67.4167,19.875,1.6292,0,18.0833,69.375,16
2017-12-20,3.4125,0.4288,26,31.0833,89.0417,19,2.0833,0.0083,17.7083,72.5,2
2017-12-21,3.65,0.425,36.8083,26.4167,80.8333,19.3333,2.7792,0,18.1667,67,6
2017-12-22,4.0875,0.5775,40.8083,50.2083,102.0833,23.0083,2.7958,0,19.0833,67.2083,6
2017-12-25,4.1083,0.6908,34.8333,58.6667,122,22.8667,1.8083,0,20.2083,72.7917,2
2017-12-26,4.6083,0.745,32.8167,65.25,146.625,28.875,4.3208,0,20.6667,71.6667,21
2017-12-27,3.9875,0.5192,38.25,44.5833,97.5833,24.875,2.6792,0,20.0417,75.4167,3
2017-12-28,4.0125,0.4233,38.3708,41.25,92.8333,18.7708,1.7625,0,21.0833,75,10
2017-12-29,2.8167,0.3642,33.875,39.7083,101.1667,17.125,1.45,0,21,76.5417,9
